               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1178,             0.04819,            0.049181,                   0,                   0,                   0,                   0,             0.11309,            0.026672,            0.043579,              0.0955,              0.0005,              0.0005
                   1,             0.11526,            0.045172,             0.04716,                   0,                   0,                   0,                   0,             0.11632,            0.024765,            0.042505,            0.090089,           0.0010891,           0.0010891
                   2,             0.11081,            0.053495,            0.047637,                   0,                   0,                   0,                   0,             0.11276,            0.023254,            0.042773,            0.084666,           0.0016663,           0.0016663
                   3,             0.10477,            0.057454,            0.047014,                   0,                   0,                   0,                   0,             0.10737,            0.022446,            0.043689,            0.079232,           0.0022317,           0.0022317
                   4,             0.10021,            0.062247,             0.04594,                   0,                   0,                   0,                   0,             0.10145,            0.023071,            0.045349,            0.073785,           0.0027852,           0.0027852
                   5,            0.097146,            0.055198,            0.045638,          0.00090257,              0.1875,           0.0012157,           0.0002853,            0.092245,            0.024624,             0.04397,            0.068327,           0.0033267,           0.0033267
                   6,             0.09261,            0.048533,            0.044458,           0.0010478,                0.25,           0.0010893,          0.00037662,              0.0979,            0.021999,            0.042126,            0.062856,           0.0038565,           0.0038565
                   7,            0.090604,            0.056624,            0.043869,          0.00076628,                0.25,           0.0056744,           0.0019017,             0.09631,             0.02235,            0.041577,            0.057374,           0.0043743,           0.0043743
                   8,            0.087849,             0.06133,             0.04286,          0.00075873,                0.25,           0.0073323,           0.0032929,            0.093374,            0.022869,             0.04093,             0.05188,           0.0048802,           0.0048802
                   9,            0.086466,            0.057336,            0.041991,           0.0012782,               0.375,           0.0040976,           0.0019518,            0.087033,            0.023769,            0.040497,            0.046374,           0.0053743,           0.0053743
                  10,            0.079943,            0.058892,            0.041008,           0.0029776,                0.75,           0.0061572,           0.0016792,            0.081362,            0.024696,            0.038226,            0.040857,           0.0058565,           0.0058565
                  11,            0.078867,            0.065079,             0.04013,           0.0048768,              0.9375,            0.017581,           0.0053138,            0.077009,            0.024685,            0.035107,            0.035327,           0.0063268,           0.0063268
                  12,            0.076056,            0.055104,            0.039553,           0.0046306,                   1,            0.033595,           0.0066022,            0.074662,            0.024456,              0.0341,            0.029785,           0.0067852,           0.0067852
                  13,            0.078643,            0.056126,            0.037987,           0.0040172,               0.875,            0.016446,           0.0050527,            0.083484,            0.021481,            0.033136,            0.024232,           0.0072318,           0.0072318
                  14,            0.077585,            0.056311,            0.036621,           0.0040172,               0.875,            0.016446,           0.0050527,            0.083484,            0.021481,            0.033136,            0.018666,           0.0076665,           0.0076665
                  15,            0.079045,            0.054229,            0.036614,           0.0061291,                   1,            0.024086,           0.0082341,            0.082972,            0.021072,            0.032281,            0.013089,           0.0080892,           0.0080892
